"Time","TARGET"
2023-11-08 11:52:30,10.2 GB
2023-11-08 11:52:45,10.2 GB
2023-11-08 11:53:00,10.2 GB
2023-11-08 11:53:15,10.2 GB
2023-11-08 11:53:30,10.2 GB
2023-11-08 11:53:45,10.2 GB
2023-11-08 11:54:00,10.2 GB
2023-11-08 11:54:15,10.2 GB
2023-11-08 11:54:30,10.2 GB
2023-11-08 11:54:45,10.2 GB
2023-11-08 11:55:00,10.2 GB
2023-11-08 11:55:15,10.2 GB
2023-11-08 11:55:30,10.2 GB
2023-11-08 11:55:45,10.2 GB
2023-11-08 11:56:00,10.2 GB
2023-11-08 11:56:15,10.3 GB
2023-11-08 11:56:30,10.4 GB
2023-11-08 11:56:45,10.5 GB
2023-11-08 11:57:00,10.7 GB
2023-11-08 11:57:15,10.8 GB
2023-11-08 11:57:30,10.9 GB
2023-11-08 11:57:45,11.0 GB
2023-11-08 11:58:00,11.1 GB
2023-11-08 11:58:15,11.2 GB
2023-11-08 11:58:30,11.4 GB
2023-11-08 11:58:45,11.5 GB
2023-11-08 11:59:00,11.6 GB
2023-11-08 11:59:15,11.7 GB
2023-11-08 11:59:30,11.8 GB
2023-11-08 11:59:45,11.9 GB
2023-11-08 12:00:00,12.0 GB
2023-11-08 12:00:15,12.1 GB
2023-11-08 12:00:30,12.3 GB
2023-11-08 12:00:45,12.3 GB
2023-11-08 12:01:00,12.5 GB
2023-11-08 12:01:15,12.7 GB
2023-11-08 12:01:30,12.9 GB
2023-11-08 12:01:45,13.1 GB
2023-11-08 12:02:00,13.2 GB
2023-11-08 12:02:15,13.4 GB
2023-11-08 12:02:30,13.6 GB
2023-11-08 12:02:45,13.8 GB
2023-11-08 12:03:00,14.0 GB
2023-11-08 12:03:15,14.2 GB
2023-11-08 12:03:30,14.3 GB
2023-11-08 12:03:45,14.5 GB
2023-11-08 12:04:00,14.8 GB
2023-11-08 12:04:15,15.0 GB
2023-11-08 12:04:30,15.2 GB
2023-11-08 12:04:45,15.3 GB
2023-11-08 12:05:00,15.3 GB
2023-11-08 12:05:15,15.3 GB
2023-11-08 12:05:30,15.4 GB
2023-11-08 12:05:45,15.5 GB
2023-11-08 12:06:00,15.6 GB
2023-11-08 12:06:15,15.7 GB
2023-11-08 12:06:30,15.8 GB
2023-11-08 12:06:45,15.9 GB
2023-11-08 12:07:00,16.0 GB
2023-11-08 12:07:15,16.2 GB
2023-11-08 12:07:30,16.3 GB
2023-11-08 12:07:45,16.4 GB
2023-11-08 12:08:00,16.5 GB
2023-11-08 12:08:15,16.6 GB
2023-11-08 12:08:30,16.7 GB
2023-11-08 12:08:45,16.9 GB
2023-11-08 12:09:00,17.0 GB
2023-11-08 12:09:15,17.1 GB
2023-11-08 12:09:30,17.2 GB
2023-11-08 12:09:45,17.3 GB
2023-11-08 12:10:00,17.4 GB
2023-11-08 12:10:15,17.6 GB
2023-11-08 12:10:30,17.7 GB
2023-11-08 12:10:45,17.8 GB
2023-11-08 12:11:00,17.9 GB
2023-11-08 12:11:15,18.0 GB
2023-11-08 12:11:30,18.1 GB
2023-11-08 12:11:45,18.3 GB
2023-11-08 12:12:00,18.3 GB
2023-11-08 12:12:15,18.4 GB
2023-11-08 12:12:30,18.5 GB
2023-11-08 12:12:45,18.6 GB
2023-11-08 12:13:00,18.7 GB
